id,sender,message_body,category
4909,XYZ1234567,U r invited: special service update. New features rolling out today.,service
4910,10-digit-91-9876543210,Heyyy! Ur otp for your app is 560221. Use within 10 mins.,otp
4911,OLACABS,Your ride is nearby. Driver Raju will reach you in 5 mins. ETA 2:40 PM.,service
4912,ICICIBK,"Rs. 2,500 withdrawal attempt blocked. If this wasn’t you, call 1800-102-1000.",banking
4913,SWIGGY,Thanks for ordering! Your delivery from Swiggy is on the way. Order ID: SWG-45321,promotion
4914,VERIFY,Your OTP is 129384 for InstaPay. Expires in 3 mins. Do not share.,otp
4915,GOI-LTD,Service alert: Your ticket #56789 has been resolved. Thanks for your patience.,service
4916,KOTAKBK,"Cheque refresh completed. Your balance is Rs. 12,540.50. Ref: KB-Rev-204",banking
4917,FBK-ACCT,"Promo: Limited time offer on travel bookings. Save up to ₹5,000 on flights.",promotion
4918,UBER,Your ride to airport is confirmed. Vehicle 4x4 arriving in 7 mins.,service
4919,PAYTM,OTP: 498612 for your payment. Do not share this code.,otp
4920,INDIAPOST,We’re updating our service status. All systems operational. – Team,service
4921,VERIFY,Your OTP is 478293 for login. Do not share it. valid for 10 min.,otp
4922,AXISBK,"Dear customer, Rs. 2,199 charged at ONLINE-STORE on 07 Oct. If not you, call 1860-419-0000.",banking
4923,ZOMATO,Merry lunch! 20% off on orders above Rs. 299. Use code ZOM299. Limited time.,promotion
4924,HBOTPSMS,"Hey, ur order #OD12345 is out for delivery. ETA 45 mins. Thanks!",personal
4925,KOTAKBK,"Your account notice: new device login detected. If this wasn’t you, contact 1860-266-2666.",banking
4926,OTPSMS,OTP 560421 for your Paytm login. Do not share with anyone.,otp
4927,SWIGGY,SwiggyDelivery: ₹50 off on orders above ₹399. Use code SWIG399.,promotion
4928,10-digit,"Hey yaar, kya scene hai? Want to catch up later? 😅",personal
4929,SBIALERT,"Your SBI alert: Rs. 1,500 debited to BILLDESK on 06 Oct. Ref: B12345.",banking
4930,OTP,Your code 738291 is valid for 5 minutes. Do not share with anyone.,otp
4931,AMAZON,Your order #AMZ-98765 shipped. ETA 2 days. Track: AMZTRACK98765.,service
4932,GOIBIBO,Flight alert: Your booking #GBI-44567 is confirmed. E-ticket sent to your email.,service
4933,ICICIBK,New feature unlocked: monitor your spends. See statement in the app. Rs. 0 fee till year end.,banking
4934,ZOMATO,Delivery boy on the way. Order #ZOM123 from Delhi NCR. ETA 25 mins.,personal
4935,FLIPKRT,Flash sale: Up to 60% off on fashion. Ends today. Free Rs. 99 shipping.,promotion
4936,OLACABS,"Your ride is booked: Ola Cabs #CAR-9876, pickup at 5:30 PM. Drive safe!",service
4937,UNKNOWN,This is a scam: your bank is compromised. Do not reply. Call 1800-xxx-xxxx now.,spam
4938,UBER,Trip receipt: ₹320.78 for ride #UB-1234. Thanks for choosing Uber.,service
4939,PAYTM,Payment of Rs. 4500 received from UPI ID @bank. Balance: Rs. 1200.,banking
4940,MYNTRA,Code MYNTRA25: ₹500 off on orders above ₹299. Shop now.,promotion
4941,AXISBK,Your OTP is 458900 for verifying your login. Do not share; valid for 10 mins. Thx,otp
4942,HDFCBK,"Dear customer, ₹1,299 deducted for mobile recharge on 24 Sep. Balance updated.",banking
4943,ZOMATO,Order #Z100543 confirmed. ETA 25 mins. Enjoy your meal! 🍛,promotion
4944,SARITA,"Hey yaar, kuch plans for weekend? ☺️",personal
4945,OTPSMS,Your OTP 742981 is valid for 5 min. Do not share with anyone.,otp
4946,ICICIBK,"₹2,450 debit posted to XXX-XXXX-1234 on 23/09. Balance: ₹15,600.",banking
4947,PROMO24,Limited-time offer: 15% off on all groceries. Use code SAVE15.,promotion
4948,91-9876543210,"Hi! This is a normal chat, lunch tomorrow? ☺",personal
4949,SBIALERT,"Alert: Unusual login from new device. If this wasn’t you, secure your account now.",service
4950,VERIFY,Your verification code is 593812. Please enter to proceed.,otp
4951,SWIGGY,Order #S9876 placed. Will be delivered soon. Thank you for choosing Swiggy.,promotion
4952,GOIBIBO,"Flight ticket issued. PNR AB1234, date 30 Sep. Have a nice trip! ✈️",service
4953,ZOMATO,"Hey, your order is on the way. Track here: zoma.co/track",promotion
4954,UBER,Driver on the way. ETA 8 mins in your area. Fare ₹120,service
4955,MYNTRA,Your order MDX7821 shipped. Expected delivery 2-3 days.,promotion
4956,AIRTEL,"Plan update: Rs. 399/month, 1000 mins, 2GB data. Thanks for staying with us.",service
4957,KOTAKBK,₹500 credit to your account for referral. Status: credited.,banking
4958,OLACABS,Ride booked. Car arriving shortly. Booking ID OC-1122.,service
4959,PAYTM,Cashback of ₹75 credited for your last order. Thanks for using Paytm Wallet.,promotion
4960,ICICIBK,Payment of ₹3200 received for insurance premium. Policy #P-1122,banking
4961,AXISBK,Your OTP is 492817 for bank login. Do not share it with anyone. Valid for 10 mins.,otp
4962,HDFCBK,"₹1,249 deducted from your account at POS on 07/11. Balance: ₹3,600.10",banking
4963,ZOMATO,Order #Z98765 confirmed. ETA 25 mins. Thanks for choosing Zomato!,promotion
4964,VERIFY,Your OTP code is 784093. Use this to continue. ⏱ 5 min expiry.,otp
4965,SBIALERT,"Alert: Rs. 5,420 spent on 04/11 via UPI. If unauthorised, call us immediately.",banking
4966,MYNTRA,Your order ORD-547820 has shipped. Tracking: 9ZT12345AB. ₹ is on the way!,promotion
4967,91-9876543210,"Hey yaar, what's up? Long time no chat. Call me later.",personal
4968,OTPMSGS,Your verification code is 560112 for login. Do not share with anyone.,otp
4969,ICICIBK,"Rs. 2,000 transferred to your wallet. Ref: ICICIRF1234. Balance: ₹4,150.72",banking
4970,SWIGGY,Delivery boy is 10 mins away. Order #SWG-2024-11. Please share doorstep confirmation.,promotion
4971,GOIBIBO,Flight booked: BLR-DEL on 22 Nov. PNR: 9Y8R4Q. E-tkt sent to your email.,service
4972,UNSUB,You have 0 new messages. Tap to open your inbox.4e7,spam
4973,ZOMATO,New coupon: 15% off on your next order. Use ZO15 at checkout.,promotion
4974,UBER,Your ride is confirmed. Driver Arjun is on the way. ETA 6 mins.,service
4975,PAYTM,"₹250 cashback credited to your Paytm Wallet. Ref: PAYTM-CB2024. Balance ₹1,125.60.",promotion
4976,10-digit-91-9876543210,"Bro, pls call me when free. Need to discuss plans.",personal
4977,KTKKBK,Low balance alert: ₹120.50 remaining in your account. Top up now.,banking
4978,OTPSMS,Your one-time password is 839201 for login. Do not share.,otp
4979,INDBANK,Your statement for Oct 2024 is ready. Download the PDF from app.,service
4980,SPAMM,Lottery winner! Claim your prize now with 3 easy steps. Click to verify your win.,spam
4981,AXISBK,"Hi, your Rs. 2,340 withdrawal at ATM failed. If this was you, ignore; else contact help@axisbank. Ref:  AB12345",banking
4982,VERIFY,OTP for your txn: 842019. Do not share this with anyone. Valid for 10 mins. Rs 0.00 charged.,otp
4983,ZOMATO,Order #ZMT2025109 placed! Delivery by 45 mins. Track: zmt.in/track. Use code EATS10 for Rs. 100 off.,promotion
4984,6XXXXXXXX,Missed call? Urgent SMS from service desk: Your password reset link is coming soon.,service
4985,ICICIBK,"Your balance is Rs. 8,420.75. Available: Rs. 6,980.50. Last txn: –₹1200 at 11:22AM on 07 Nov.",banking
4986,OTPSMS,Your OTP is 493827. Do not share it. Exp: 5 mins.,otp
4987,SWIGGY,Your order #SWG123456 is confirmed. ETA 30 mins. Total Rs. 389.00. Wallet credit: Rs. 20 off.,promotion
4988,9XXXXXXXX,"Hey yaar, long time na? SMS from me after ages. How are you btw? 😊",personal
4989,HDFCBK,"Your debit limit reached for this month. Remaining: Rs. 1,200.00. Update your budget.",banking
4990,GOIBIBO,Your flight got rescheduled to 03:15 PM. New PNR: GY1234. Check-in link sent.,service
4991,UBER,"Your ride is arriving in 3 mins. Vehicle: sedan, Driver: Raj. Plate: KA-01-1234.",service
4992,AMAZON,"Delivery attempt failed for Order #AMZ987654. Please confirm delivery address. Rs. 1,299.",promotion
4993,VERIFY,OTP: 791452 for your login. Don’t share. Valid for 8 mins.,otp
4994,MYNTRA,"Flash sale! 40% off sitewide. Use code MEGA40. Max discount Rs. 2,000.",promotion
4995,SBIALERT,"Your statement is ready. Account ending 1234. Due balance Rs. 4,560.75.",banking
4996,OTPSMS,OTP 603948 for your Paytm transfer. Exp: 3 mins. Do not share.,otp
4997,ICICIBK,Promo: Get Rs. 500 cashback on your next bill payment. Use code WELCOMER.,promotion
4998,INDIAPOST,Service notice: Your SMS limit for this month has been reached. Take action to avoid disruption.,service
4999,ZEN OTP,Your one-time password is 274963. This code expires in 4 mins.,otp
5000,ZOMATO,Heads up: Your wallet has Rs. 150 cashback after your last order. Order again to redeem more.,promotion
5001,VERIFY,OTP for your transaction 4739. Do not share. Valid for 10 mins. Rs. 0.00 charge.,otp
5002,AXISBK,"Your account balance is Rs. 5,842.70. Last 3 transactions: 99.99, 2000.00, 150.00. Ref: AXIS-2025",banking
5003,ZOMATO,Hi! Your order #Z12345 is out for delivery. ETA 22 mins. ₹120.50,promotion
5004,SWIGGY,Promo: Get 50% off up to ₹150 on orders today. Use code SWIG20,promotion
5005,9XXXXXXXXX,"Hey bro, vibe check? Abhi ke liye lunch plan? Msg when free.",personal
5006,HDFCBK,"Alert: Rs. 2,650 spent at AMAZON India. Balance Rs. 12,400. Ref: HDFB-ALER01",banking
5007,OTPSMS,Your OTP 826493 is valid for 5 mins. Do not share with anyone.,otp
5008,UBER,"Ride confirmed. Vehicle 2-wheeler, driver Ramu. ETA 5 mins. Fare Rs. 68.40",service
5009,GOIBIBO,"Your flight 9W123 is confirmed. PNR: PLM45, Travel date 12-12-2025.",service
5010,KOTAKBK,"Banking: Your statement for Nov 2025 is ready. Total debit Rs. 3,450. Ref: KT-STAT",banking
5011,ARBITRICS,"Congratulations! You’ve won a lucky draw. Claim within 24 hours to receive Rs. 10,000.",spam
5012,PAYTM,"Wallet ₹250 added to your Paytm Wallet. New balance ₹3,450.75",banking
5013,MYNTRA,Sale alert: Flat 40% off on tees. Extra 15% with code MN40,promotion
5014,INDIACIG,Your subscription renewal is due. ₹199 charged. To cancel reply STOP,service
5015,10XXXXXXXXX,Boss says: new project kickoff at 3 PM today. Be on standby.,personal
5016,ICICIBK,"Alert: Rs. 1,500 online payment at MEDPLUS charged. Ref: ICIC-OPL-01",banking
5017,FLIPKRT,Flash sale! Rs. 299 kurti. Ends in 2 hours. Hurry up,promotion
5018,OTPSMS,"OTP expires in 2 mins: 594321. If not you, ignore this message.",otp
5019,SBIALLE,Security alert: New login from Chrome on Android. IP: 27.56.90.4,service
5020,Myntra,"Your order #M123789 shipped. Tracking: MTN-987654. Rs. 1,299.00",personal
5021,VERIFY,Your OTP is 473029 for your transaction. Do not share it with anyone.,otp
5022,AXISBK,"Rs. 2,450 debited from your account on 07/11. If not you, call 1800-XXX-XXXX.",banking
5023,ZOMATO,Order #Z12345 confirmed. ETA 25 mins. total ₹320.99. Enjoy! 🍽️,promotion
5024,HDFCBK,Your card has been blocked due to 3 failed attempts. Visit ATM or call helpdesk.,banking
5025,OTPSMS,OTP: 890561 for login on app. Valid for 10 mins. Do not share.,otp
5026,GOIBIBO,Flight booked: DEL-BLR on 22 Dec. PNR: 3X9VKL. E-ticket issued.,service
5027,SWIGGY,Your order from Swiggy is out for delivery. ETA 15 mins. ₹120.50 charged.,promotion
5028,7-11,Hi! Your ongoing promo: buy 1 get 1 free on snacks. Use code B1G1 at checkout.,promotion
5029,ICICIBK,₹500 cashback credited to your ICICI account on 1st week of Nov.,banking
5030,MYNTRA,Order #MN123987 shipped. Tracking: #TRK456789. Delivery by 23 Nov.,promotion
5031,10DIGIT1234,"Hey, just checking in after work. How are you doing? :)",personal
5032,AIRLINE,Your flight AB1231 is delayed by 2 hours. New time 10:30 PM.,service
5033,UBER,Your ride to MG Road is arriving in 5 mins. Driver: Rahim. Car: Sedan.,personal
5034,PAYTM,Wallet top-up of ₹1500 successful. Ref: PTM987654.,banking
5035,SBIALERT,"Suspicious login attempt from unknown device. If this wasn’t you, change password.",banking
5036,AMAZON,Your order #AMZ-90876 has shipped. Estimated delivery 2-4 days. Total ₹899.99.,promotion
5037,PHONE-NOTIFY,Reminder: your prepaid plan will expire in 3 days. Please renew to continue service.,service
5038,RZSERVICE,"Your bill for current cycle is ₹1,299. Due date 12 Nov. Pay now to avoid late charges.",service
5039,INDSSHOP,Flash sale: upto 70% off on fashion. Ends midnight.🎯,promotion
5040,UTVCALL,You have a missed call from +91-9876543210. Call back to verify.,spam
5041,AXISBK,"Hi, your OTP for login is 427812. Do not share it. Valid for 10 mins.",otp
5042,HDFCBK,"Your account balance is ₹12,480.62. Use the app to view details.",banking
5043,ZOMATO,Order #Z12345 confirmed. delivery ETA 25 mins. Tap for more details.,promotion
5044,VERIFY,OTP: 093145. Enter within 5 mins to continue.,otp
5045,ICICIBK,"Rs 1,250 debited from your card for Amazon order. Ref: AMZ-98765",banking
5046,SWIGGY,Your rider is near. ETA 7 mins. Order #SWG-5588 is on its way.,promotion
5047,10-digit-91-9876543210,"Hey yaar, long time no chat! What’s up? 😊",personal
5048,OTPSMS,OTP 564321 for your Paytm wallet login. Do not share.,otp
5049,GOIBIBO,Your flight 9E-774 is confirmed. PNR: XYZ123. Check-in opens 24h before.,service
5050,UBER,Drop-off reached. Thank you for riding with us.,service
5051,MYNTRA,Your order 987654 is shipped. Tracking: TY98765432. ₹ can be paid at delivery.,promotion
5052,SBIALERT,"Alert: ₹5,600 credited to your SB I-SAVINGS. Ref: SB-ALR-1122",banking
5053,UNKNOWN-555,You’ve won a prize! Reply YES to claim now. TnC apply.,spam
5054,IRCTC,Railway alert: train 12345 is on time. Arrival at 18:45 at your station.,service
5055,ZOMATO,Your wallet is low. Add ₹300 to continue with free delivery today.,promotion
5056,RICHLV,Reminder: bill due 22 Sep ₹860. Pay now to avoid late charges.,banking
5057,UBER,Promo: 20% off on your next ride. Use code RIDE20.,promotion
5058,PHONEWALLET,"Security alert: new login from unknown device. If not you, change password.",service
5059,XYZ-GRUP,"Hey bro, lunch at 1? I’m picking up from local cafe.",personal
5060,VERIFY,Your OTP code is 284517. Keep it confidential.,otp
5061,AXISBK,"Your OTP for transaction 344221 is valid for 10 mins. Do not share. Rs. 4,200 debited to your account on 12/11.",otp
5062,HDFCBK,"Rs. 1,250 charged at ZOMATO via card. Order #Z12345. If not you, reply STOP.",banking
5063,ZOMATO,Order #Z98766 confirmed. ETA 25 mins. Total ₹560. Enjoy your meal! 🍽️,promotion
5064,SWIGGY,Hi! Your order ID SWG54321 is out for delivery. ETA 20 mins. PLS share feedback.,promotion
5065,VERIFY,"OTP: 572489 for your login. Valid for 5 min. If not you, pls call 1800-xxx-1234.",otp
5066,SBIALERT,"Credit of Rs. 9,800 to your SB account on 11/11. Ref: SBIN-ELC-4821.",banking
5067,ICICIBK,"Your monthly statement is ready. Balance ₹12,340.67. Visit app for details.",banking
5068,KOTAKBK,Promo: Get 50% off up to ₹200 on groceries. Use code KOTAK50.,promotion
5069,10-digit 91XXXXXXXX,Ur package from AMAZON is out for delivery. Tracking #: AZ1234567. ETA today.,service
5070,VERIFY,Use OTP 349812 to complete your login. Time limit 8 minutes.,otp
5071,MYNTRA,Your order #MN789012 has shipped. Tracking: TRK98765. ₹499 for your style.,promotion
5072,IBEX,"Hi, this is a scam check: if you didn’t request, ignore. This is a spam message.",spam
5073,OLACABS,A/c ride booked for you. Driver ETA 7 mins. Cab details sent to your email.,service
5074,GOIBIBO,"Flight 6E1234 canceled. Refund ₹1,200. Please check your app.",service
5075,UBER,Promo: 25% off on your next ride. Max ₹150. Use code UBERLOVE.,promotion
5076,9XXXXXXXXXX,"Hey friend, catching up after ages! How r u? 😊",personal
5077,AXISBK,"Alert: ₹2,150 debited at POS in Mumbai. Ref: POS-8787.",banking
5078,OTPSMS,Your OTP 826341 expires in 4 mins. Do not share with anyone.,otp
5079,ZOMATO,Blvd Veg Kabab is ready! Order #Z65432 confirmed. Total ₹320.,promotion
5080,INDIGO,Service update: Your flight is rescheduled to 20:30 on 12th. Check app for details.,service
5081,VERIFY,Your OTP for login is 482910. Do not share it. Valid for 10 min.,otp
5082,AXISBK,"Rs. 1,204 debited from your account on 04:52 PM, Ref: AX2024-Release. Balance: Rs. 8,900.",banking
5083,ZOMATO,Your order #Z12345 is live. ETA 30 mins. ₹299.99 paid by wallet.,promotion
5084,91-9876543210,"Hey yaar, lunch plan? chk WhatsApp later. Msg frm friend.",personal
5085,SBIALERT,"Alert: ₹5,000 credited to your SBIA Savings. Ref: SBX-5678.",banking
5086,OTPSMS,OTP: 764322 for your login. Don’t share with anyone.,otp
5087,SWIGGY,Order #SWG98765 confirmed. ETA 25 mins. Total ₹420.00.,promotion
5088,ICICIBK,"Your last login from new device. If not you, call 1800-ICICI to secure.",service
5089,GOIBIBO,"Your flight booking confirmed. PNR: AI1234. Amount ₹3,450.",promotion
5090,MYNTRA,Gift card worth ₹500 added to your account. Use code GIFT500.,promotion
5091,INDIANPOST,Delivery update: Your parcel is out for delivery today.,service
5092,UBER,"Your ride is arriving in 5 mins. Driver: Rahul, Car: Uber X.",service
5093,HMV,"Reminder: bill due on 12th. Amount ₹1,250. Pay now to avoid late fee.",banking
5094,VERIFYSMS,Secure code: 831774. This is your verification code.,otp
5095,AMAZON,Package #AMZ-89210 shipped. Tracking: 1Z999AA10123456784.,promotion
5096,10DIGITNUM,Hi! Pls check your messages for important updates.,personal
5097,KOTAKBK,"Rs. 2,450 credited to your account. Ref: KT-44567.",banking
5098,PAYTM,Payment of ₹650 received via Paytm. Order #PT-607. Thanks for using Paytm.,banking
5099,OLACABS,Ride started. Pickup near your hotel. ETA 6 mins.,service
5100,SPAM-SMS,"Congratulations! You won ₹50,000. Click here to claim now. T&Cs apply.",spam
5101,VERIFY,Your OTP is 483912 for your login. Do not share it with anyone. Exp: 10 mins.,otp
5102,AXISBK,Your OTP 724651 for Axis Login. Do not share. Exp 5 min.,otp
5103,ZOMATO,Order #ZOF12345 confirmed. ETA 25 mins. Total ₹420.00. Thanks for ordering!,promotion
5104,HDFCBK,Debit of Rs. 1200.00 from your account ending 1234. Ref: ATM-1021,banking
5105,INDIAPOST,Service alert: Your parcel has been shipped via BlueDart. Tracking 9XC12345,service
5106,WHARF,"Hey yaar, kal milte hain? Miss you ❣️",personal
5107,SBIALERT,Your card has been charged ₹899.00 for ShoppingMall order. Ref: 98765,banking
5108,OTPSMS,OTP 612349 for your PayTM login. Valid 6 mins.,otp
5109,SWIGGY,Your order #SWG98765 is on the way. ETA 15 mins. ₹210 saved today.,promotion
5110,ICICIBK,Low balance: Rs. 1200 in your account. Please add funds.,banking
5111,MYSURUFOOD,Hi! Gud news - your delivery is scheduled for today. Order #MYS456,promotion
5112,GOIBIBO,Flight 9W123 now on time. Check-in opens 2h before departure.,service
5113,10******1234,"Hi, just a quick update: your order #ODR6789 shipped. Tracking: TRK987654",personal
5114,RENTALZ,Promo: Get 20% off on your OTT subscription. Use code OTT20,promotion
5115,VERIFY,Your OTP 824130 for transaction auth. Do not share.,otp
5116,UBER,Rider arrived. ETA 3 mins. Vehicle: sedan ₹72.50 surge applied.,service
5117,MYNTRA,Order #MN12345 delivered. Refund processed ₹150.00,promotion
5118,KOTAKBK,Payment of Rs. 3000 completed. Ref: KM-8741,banking
5119,AIRTEL,Your prepaid balance ₹50.00. Recharge now to continue.,service
5120,OTP-SAFE,OTP 391482 for your banking app. Expires in 4 minutes.,otp
5121,AXISBK,Your OTP is 472839 for AXIS transaction. Do not share. ₹1200 debit reversal pending on 25/11.,otp
5122,SBIALERT,"Rs. 3500 debited from your SBIN A/c ending 1234. Balance ₹12,500.22. Report if not you.",banking
5123,ZOMATO,Hey bhai! Your order #ZMN-84210 is confirmed. ETA 20 mins. Use code ZOM10 for next order.,promotion
5124,VERIFY,Your OTP code is 695421 for login on our app. Do not share with anyone.,otp
5125,KOTAKBK,₹4500 credited to your account ending 5678 on 25/11. Ref: KTK-2211. Thanks!,banking
5126,IBDUMMY,"Hey! Long time no see. Yaar, dinner tonight? Msg me.",personal
5127,SWIGGY,Your order #SWG-9099 is picked up. ETA 18 mins. Use SWIG70 for discount.,promotion
5128,OTPSMS,OTP 284651 for your transact on PayFast. Keep it private.,otp
5129,GOIBIBO,"Flight itin received. PNR AB1234, fare ₹4999. Change fees apply.",service
5130,IBAN-Unknown,Warning: multiple login attempts detected from a new device. Verify now.,service
5131,UBER,Your Uber ride is nearby. Car in 3 mins. Driver: Priya. LNK: 98765,personal
5132,ICICIBK,"₹1200 debited at ICICI Bank A/c 7890. Bal ₹8,400.87. Ref: ICIC-5402",banking
5133,AMAZON,Your order #AMZ-51234 shipped. Tracking: 1Z999AA10123456784,promotion
5134,10-digit,Hey! Ur package is out for delivery today. Pls track: http://clk.co/track,promotion
5135,MYNTRA,Code MYN10 applied. Your order #MYN-7766 qualifies for free shipping.,promotion
5136,ICICI,Your passcode 873219 is required to complete your login. Do not share.,otp
5137,9X9SPAM,"Congratulations! You won ₹50,000. Click link to claim now.",spam
5138,OLACABS,Your ride is confirmed. Cab details sent to your number. ETA 6 mins.,service
5139,PAYTM,₹250 cashback credited to your Paytm wallet. Order #PAY-8877.,banking
5140,INDIANPOST,Reminder: your bill is due on 28/11. Amount ₹2300. Pay now to avoid late charges.,service
5141,AXISBK,Your OTP is 493821 for transaction 1001 on 29-11-2025 09:12. Do not share it.,otp
5142,KOTAKBK,"Rs. 2499 charged at 10:45AM for Amazon order AMZ12345. If not you, call XX-XXXX.",banking
5143,ZOMATO,"Dear user, your promo code WELCOME10 saves ₹50 on orders above ₹299. TnC apply.",promotion
5144,91-9876543210,"Hey yaar, lunch plan today? Msg me.",personal
5145,VERIFY,OTP: 674321 for your login. Don’t share this with anyone.,otp
5146,SBIALERT,"Your account balance is ₹12,340.05. Last txn: +",banking
5147,SWIGGY,Promo: Use SWIG10 to get Rs. 100 off on orders above Rs. 299. Exp: Dec 31.,promotion
5148,INDIACRPD,"Reminder: payment due on 03-Dec-2025 ₹1,150. Due date extended.",service
5149,UTL,Hi! Pls confirm your delivery window for order #DLV8796. ETA 2-4PM.,service
5150,OTPSMS,Your verification code is 827364. Do not share with anyone.,otp
5151,AMAZON,Your order #AMZ9987 has shipped. Track: TRK-POZ9987.,banking
5152,MYNTRA,Sale alert: flat 15% off on womenswear. Use code WFM15. Rs. 350 off today.,promotion
5153,TESTNUM-91XXXX,Reminder: Your subscription will renew on 29-Nov-2025. ₹199.,service
5154,ICICIBK,"Credit of Rs. 2,000 to your account xx123 balance now ₹9,800.",banking
5155,LAYOFFSPM,Ur order #ORD12345 has been delivered. Thanks for shopping with us 🙏,personal
5156,GOIBIBO,Your flight is confirmed. PNR: GV1234. Check-in opens 24h before departure.,service
5157,FBISPOOF,Heads up: payment failed for your card. Try again or use UPI.,spam
5158,UBER,Promo: 20% off on rides up to ₹60. Use code RIDE20.,promotion
5159,HDFCBK,OTP for your login is 561234. Do not share with anyone.,otp
5160,OLACABS,Ride booked for 8:15 PM. Driver near you in 5 mins. Cab details sent.,service
5161,VERIFY,Your OTP is 472198 for login. Do not share it with anyone. Valid for 10 mins.,otp
5162,AXISBK,"Rs. 2,350 debited from your account ending 1234 on 07/11. Balance ₹5,800.20.",banking
5163,ZOMATO,Order #F54X2 confirmed. ETA 25 mins. Enjoy your meal! 🍽️,promotion
5164,91-8444001111,"Hey yaar, save 10% this weekend on groceries. Use code WELCOME10.",personal
5165,OTPSMS,Your verification code is 638492 for Uber login. Do not share.,otp
5166,HDFCBK,"Rs. 1,200 credit on your card. Available balance ₹3,600.00. Card ending 9876.",banking
5167,SWIGGY,Your order 012345 is out for delivery. ETA 12 mins. Thanks for choosing Swiggy!,promotion
5168,1234567890,Sunshine Supermarket - Your order 9876 placed. Pay on delivery. Total ₹850.,service
5169,MYNTRA,Flat 20% off on select outfits. Use code STYLE20. Ends midnight.,promotion
5170,GOI NOTIF,Your passport appointment rescheduled to 15:30 on 12/11. Location: New Delhi.,service
5171,ICICIBK,"Rs. 600 credited to your savings account. Ref 987654. Available balance ₹4,210.50.",banking
5172,OTP-IK1,Your OTP for ICICI login is 768291. Valid 5 mins.,otp
5173,UBER,Your ride is arriving shortly. Driver Anjali on the way. Vehicle: sedan.,service
5174,ZENPOS,Promo: 15% off on your next ride. Code RIDE15. T&Cs apply.,promotion
5175,SPAM4YOU,"You’ve won Rs. 5,000 cashback! Reply YES to claim now. Tied to suspicious link.",spam
5176,SARAL BANK,"Alert: Unusual login attempt detected. If not you, reset your PIN.",banking
5177,ZOMATO,New restaurant on board: Curry & Co. 20% off first order.,promotion
5178,VERI,OTP: 493682 for your transaction. Do not share with anyone.,otp
5179,INDIATAX,"Your e-invoice is ready. Total due Rs. 2,150. Please pay by 09/11.",service
5180,MYNTRA,Heads up! Your return is processed. Refund Rs. 320 to your wallet.,service
5181,AXISBK,Your OTP for login is 742913. Do not share it. Valid for 10 mins. pls ignore if not you.,otp
5182,SBIALERT,"Dear customer, your account balance is Rs. 12,340.67. For details, login to net banking.",banking
5183,ZOMATO,Order #ZMT12345 confirmed. ETA 25 mins. Track here: zomato.app/track,promotion
5184,VERIFY,OTP: 508769 for your PayTM login. Rs.0 fee. Use within 5 min.,otp
5185,10digit-91XXXX1234,"Hey yaar, dinner plans? U free around 8? 😊",personal
5186,HDFCBK,"Your monthly statement is ready. Total spent Rs. 3,450.80 on 31-Oct. Open app to view details.",banking
5187,PROMO-UPD,Limited time offer: 20% off on electronics. Use code SAVE20. Ends soon.,promotion
5188,OLACABS,Your ride is confirmed. Driver Iqbal on the way. ETA 7 mins. ₹120.,service
5189,URBNMART,Free shipping on orders above Rs. 499. Use code FREESHIP at checkout.,promotion
5190,OTP-SMS,Your verification code is 123456. Do not share with anyone.,otp
5191,ICICIBK,"Alert: ₹2,300 debited from your account on 29/10. If not you, call 1800-xxx-0000.",banking
5192,GOIBIBO,Your flight is confirmed. PNR ABC123. Check-in opens 24h before departure.,service
5193,MyNTRA,New: Styles you love 30-50% off. Limited stock. Shop now.,promotion
5194,VERIFY,OTP 856921 for urgent access. Valid for 3 mins only.,otp
5195,9Digit-7654321100,"Bro, gym sessions moved to 6 pm. Let me know if okay.",personal
5196,SWIGGY,Your order #SWG9876 is accepted. ETA 18 mins. ₹89 delivery fee waived today.,promotion
5197,AXISBK,"Suspicious activity detected. If not you, please verify at app. Ref: AXIS-ALERT-77",service
5198,PAYTM,"Balance: Rs. 1,200.50. Add money to your wallet now.",banking
5199,MINDBAY,"Hi, this is a scam test msg? Please ignore if unexpected.",spam
5200,ZOMATO,Dinner done! Thanks for ordering. Enjoy your meal. Order #ZMT6789,personal
5201,AXISBK,"Your OTP is 482910 for login. Do not share it with anyone. timestamp 12:45, 08/11/2024.",otp
5202,HDFCBK,₹500 cashback on your next online shopping. Use code CASHBACK500. T&Cs apply.,banking
5203,ZOMATO,"Order confirmed: #Z12345, ETA 22 mins. Thanks for dining with us!",promotion
5204,29XXXX1234,"Hey bro, grab a quick coffee? I’m outside your building.",personal
5205,VERIFY,OTP 768402 for your Paytm login. Share not allowed. Valid 5 min.,otp
5206,ICICIBK,"Dear customer, your balance is Rs. 12,690.78. Last 4 digits: 3456.",banking
5207,SWIGGY,Your order from Swiggy is out for delivery. Track here: swiggy.in/track,promotion
5208,URBANFOOD,Hi! Your daily meal plan is ready for pickup at 3:30 PM. Rs. 199,service
5209,9876543210,U just won a prize! Reply YES to claim. TnC apply.,spam
5210,KOTAKBK,"Payment of Rs. 2,345.00 to AMAZON confirmed. Ref: AMZ12345",banking
5211,OTPSMS,Your verification code is 123456. Keep it confidential.,otp
5212,AMAZON,Your order #AMZ98765 shipped. Estimated delivery: 2-3 days. Thanks for shopping with us.,promotion
5213,GOIBIBO,"Your flight is confirmed. PNR: AB1234, Travel date 20 Dec. ₹2000 discount applied.",service
